author_sort,authors,series,series_index,title
"Wasson, Sam","Sam Wasson","","1.0","Fifth Avenue, 5 A.M.: Audrey Hepburn, Breakfast at Tiffany's, and the Dawn of the Modern Woman"
"Weintraub, Jerry","Jerry Weintraub","","1.0","When I Stop Talking, You'll Know I'm Dead: Useful Stories from a Persuasive Man"
"Weisman, Alan","Alan Weisman","","1.0","The World Without Us"
"Wells, H. G.","H. G. Wells","","1.0","The War of the Worlds"
"Wharton, Edith","Edith Wharton","","1.0","Ethan Frome & Selected Stories"
"Wharton, Edith","Edith Wharton","","1.0","The Age of Innocence"
"Wharton, Edith","Edith Wharton","","1.0","The House of Mirth"
"Whitman, Walt","Walt Whitman","","1.0","Leaves of Grass"
"Wilde, Oscar","Oscar Wilde","","1.0","The Picture of Dorian Gray"
"X, Malcolm & Haley, Alex","Malcolm X, Alex Haley","","1.0","The autobiography of Malcolm X"
"Zafón, Carlos Ruiz & Graves, Lucía","Carlos Ruiz Zafón, Lucía Graves","","1.0","The shadow of the wind"
"Zinn, Howard","Howard Zinn","A People's History of the United States","1.0","A people's history of the United States: 1492-present"
"Stoker, Bram","Bram Stoker","","1.0","Dracula"
"Stowe, Harriet Beecher","Harriet Beecher Stowe","","1.0","Uncle Tom's cabin"
"Suzuki, Daisetz Teitaro","Daisetz Teitaro Suzuki","","1.0","Manual of Zen Buddhism"
"Tan, Amy","Amy Tan","","1.0","The Joy Luck Club"
"Zuckerman, Gregory","Gregory Zuckerman","","1.0","The Greatest Trade Ever: The Behind-the-scenes Story of How John Paulson Defied Wall Street and Made Financial History"
"Peters, Ellis","Ellis Peters","Brother Cadfael","17.0","The Potters Field: The Seventeenth Chronicle of Brother Cadfael of the Benedictine Abbey of Saint Peter and Paul at Shrewsbury"
"Thompson, Hunter S.","Hunter S. Thompson","","1.0","Screwjack: A Short Story"
"Thompson, Hunter S.","Hunter S. Thompson","","1.0","The Curse of Lono"
"Thompson, Hunter S.","Hunter S. Thompson","","1.0","Fear and loathing in Las Vegas, and other American stories"
"Thompson, Hunter S.","Hunter S. Thompson","","1.0","Hell's Angels: a strange and terrible saga"
"Thompson, Hunter S.","Hunter S. Thompson","The Gonzo Papers","1.0","The great shark hunt: strange tales from a strange time"
"Thompson, Hunter S.","Hunter S. Thompson","","1.0","The Rum Diary: A Novel"
"Thoreau, Henry David","Henry David Thoreau","","1.0","Walden and on the Duty of Civil Disobedience"
"Tolkien, J. R. R. & Tolkien, Christopher & Nasmith, Ted","J. R. R. Tolkien, Christopher Tolkien, Ted Nasmith","","1.0","The Silmarillion"
"Tolkien, J. R. R.","J. R. R. Tolkien, Christopher Tolkien","","1.0","The Children of Húrin"
"Tolkien, J. R. R.","J. R. R. Tolkien","The Lord of the Rings","1.0","The Fellowship of the Ring"
"Tolkien, J. R. R.","J. R. R. Tolkien","The Lord of the Rings","0.0","The Hobbit: Or There and Back Again"
"Tolkien, J. R. R.","J. R. R. Tolkien","","0.0","The Lord of the Rings"
"Tolkien, J. R. R.","J. R. R. Tolkien","The Lord of the Rings","3.0","The Return of the King"
"Tolkien, J. R. R.","J. R. R. Tolkien","The Lord of the Rings","2.0","The Two Towers"
"Tolle, Eckhart","Eckhart Tolle","","1.0","A New Earth: Awakening to Your Life's Purpose"
"Tolle, Eckhart","Eckhart Tolle","","1.0","The Power of Now: A Guide to Spiritual Enlightenment"
"Rowling, J. K.","J. K. Rowling","Harry Potter","3.0","Harry Potter and the Prisoner of Azkaban"
"Rowling, J. K.","J. K. Rowling","Harry Potter","1.0","Harry Potter and the Sorcerer’s Stone"
"Saint-Exupéry, Antoine de & Testot-Ferry, Irene","Antoine de Saint-Exupéry, Irene Testot-Ferry","","1.0","The little prince"
"Salinger, Jerome David","Jerome David Salinger","","1.0","The catcher in the rye"
"Saramago, José","José Saramago","Blindness","1.0","Blindness: a novel"
"Scott, Walter","Walter Scott","","1.0","Ivanhoe - A Romance"
"Sebold, Alice","Alice Sebold","","1.0","The Lovely Bones"
"Sedaris, David","David Sedaris","","1.0","Barrel Fever"
"Sedaris, David","David Sedaris","","1.0","Dress your family in corduroy and denim"
"Sedaris, David","David Sedaris","","1.0","Me Talk Pretty One Day"
"Sedaris, David","David Sedaris","","1.0","Naked"
"Sedaris, David","David Sedaris","","1.0","Santaland Diaries"
"Setterfield, Diane","Diane Setterfield","","1.0","The thirteenth tale: a novel"
"Shaw, George Bernard","George Bernard Shaw","","1.0","Pygmalion and three other plays"
"Tolstoy, Leo Nikoleyevich","Leo Nikoleyevich Tolstoy","","1.0","War and Peace"
"Toole, John Kennedy","John Kennedy Toole","","1.0","A confederacy of dunces"
"Roberts, Nora","Nora Roberts","Dream Trilogy","2.0","Holding the Dream"
"Roberts, Nora","Nora Roberts","Quinn Brothers of Chesapeake Bay","3.0","Inner harbor"
"Roberts, Nora","Nora Roberts","Silhouette Special Edition","1328.0","Irish Rebel"
"Shepard, Sara","Sara Shepard","Pretty Little Liars","1.0","Pretty Little Liars"
"Shepard, Sara","Sara Shepard","Pretty Little Liars","2.0","Flawless"
"Shepard, Sara","Sara Shepard","Pretty Little Liars","3.0","Perfect"
"Shepard, Sara","Sara Shepard","Pretty Little Liars","5.0","Wicked"
"Shepard, Sara","Sara Shepard","Pretty Little Liars","6.0","Killer"
"Shepard, Sara","Sara Shepard","Pretty Little Liars","7.0","Heartless"
"Shepard, Sara","Sara Shepard","Pretty Little Liars","4.0","Unbelievable"
"Smith, Betty","Betty Smith","","1.0","A tree grows in Brooklyn"
"Smith, Tom Rob","Tom Rob Smith","Leo Demidov","1.0","Child 44"
"Snicket, Lemony","Lemony Snicket","A Series of Unfortunate Events","11.0","A Series of Unfortunate Events # 11: The Grim Grotto"
"Snicket, Lemony","Lemony Snicket","A Series of Unfortunate Events","10.0","A Series of Unfortunate Events #10: The Slippery Slope"
